Name,Data Type,Description
Motor_Start,BOOL,Start command for main drive motor
Valve_Open,BOOL,Open/close solenoid valve for feed line
Pump_Running,BOOL,Feedback signal from pump contactor
Alarm_HighTemp,BOOL,Overtemperature alarm status
System_Ready,BOOL,PLC ready signal for HMI
Tank_Level_Low,BOOL,Low level switch in storage tank
Conveyor_Enable,BOOL,Enable signal for conveyor belt
Fan_Fault,BOOL,Fan failure detected by thermal sensor
Door_Safety,BOOL,Safety interlock for access door
Heater_On,BOOL,Heater activation status
Speed_Setpoint,INT,Target speed for motor controller (RPM)
Batch_Count,INT,Number of completed production batches
Recipe_ID,INT,Current recipe selection index
Operator_Code,INT,Logged-in operator identification number
Cycle_Time,INT,Duration of current process cycle (seconds)
Pressure_Limit,INT,Maximum allowed pressure (bar)
Temperature_Offset,INT,Calibration offset for temperature sensor (°C)
Vibration_Threshold,INT,Vibration limit before shutdown (mm/s)
Humidity_Setpoint,INT,Target humidity level (%)
Flow_Rate_Min,INT,Minimum acceptable flow rate (L/min)
Counter_Value,UINT,Totalized product count (unsigned)
Runtime_Hours,UINT,Accumulated operating hours
Energy_Consumption,UINT,Total kWh used since last reset
Part_Number,UINT,Current part identifier code
Odometer_Value,UINT,Distance traveled by mobile unit (meters)
Fill_Volume,UINT,Volume dispensed in current batch (mL)
Torque_Limit,UINT,Maximum torque allowed (Nm)
Pulse_Count,UINT,Encoder pulse count for position tracking
Duty_Cycle,UINT,PWM duty cycle percentage (0-100)
Tank_Capacity,UINT,Maximum tank volume (liters)
Inlet_Temperature,REAL,Process fluid temperature at inlet (°C)
Outlet_Pressure,REAL,Discharge pressure after pump (bar)
Flow_Rate,REAL,Instantaneous flow rate (m³/h)
Viscosity,REAL,Fluid viscosity measurement (cP)
Density,REAL,Material density (kg/m³)
pH_Value,REAL,Acidity level of solution
Humidity,REAL,Ambient relative humidity (%)
Voltage_PhaseA,REAL,Mains voltage on phase A (V)
Current_PhaseB,REAL,Load current on phase B (A)
Power_Factor,REAL,Electrical power factor (cos φ)
Frequency,REAL,Grid frequency (Hz)
Tank_Level,REAL,Liquid level in tank (% full)
Ambient_Temp,REAL,Room temperature (°C)
Dew_Point,REAL,Condensation temperature (°C)
Gas_Concentration,REAL,CO2 concentration in exhaust (%)
Motor_Speed,REAL,Actual motor speed (RPM)
Torque_Actual,REAL,Measured torque output (Nm)
Position_X,REAL,Cartesian X-axis position (mm)
